ACDOCA is a standard SAP Table which is used to store Universal Journal Entry Line Items data and is available within S/4 HANA SAP systems depending on the version and release level. Below is the technical details and the list of fields specifically relevant for an SAP S/4 HANA system

Even using an S/4 Hana system you can still view further information about the SAP ACDOCA table and the data within it using standard SAP GUI transactions such as SE11, SE80 or SE16. Or you can use the ADT (ABAP development tools within eclipse).

Delivery Class: A - Application table (master and transaction data)
Display/Maintenance via SM30: Display/Maintenance Allowed but with Restrictions
Enhancement category: Can be enhanced (character-type or numeric)
Dictionary Type: Transparent table
Database Table: ACDOCA


ACDOCA table structure field list
Below is the full ACDOCA field list that makes up the SAP database table structure, including key fields, description, data type and other technical details of each field


Field	Description	Data Element	Data Type	length (Dec)	Check table	Conversion Routine	Domain Name	MemoryID	SHLP	SHLP Field
SRC_AWORG	Source Document Reference Organizational Units	FINS_SRC_AWORG	CHAR	10(0)			AWORG			
SRC_AWREF	Source Document Reference Document Number	FINS_SRC_AWREF	CHAR	10(0)		ALPHA	AWREF			
SRC_AWITEM	Source Reference Document Line Item	FINS_SRC_AWITEM	NUMC	6(0)			NUMC6			
SRC_AWSUBIT	Source Reference Document Sub-Item	FINS_SRC_AWSUBIT	NUMC	6(0)			NUMC6			
XCOMMITMENT	Indicator: Commitment	FINS_XCOMMITMENT	CHAR	1(0)			XFELD			
OBS_REASON	Reason why this item is obsolete	FINS_OBSOLETE_ITEM_REASON	CHAR	1(0)			FINS_OBSOLETE_ITEM_REASON			
RTCUR	Balance Transaction Currency	FINS_CURRT	CUKY	5(0)	TCURC		WAERS			
RWCUR	Transaction Currency	FINS_CURRW	CUKY	5(0)	TCURC		WAERS			
RHCUR	Company Code Currency	FINS_CURRH	CUKY	5(0)	TCURC		WAERS			
RKCUR	Global Currency	FINS_CURRK	CUKY	5(0)	TCURC		WAERS			
ROCUR	Freely Defined Currency 1	FINS_CURR1	CUKY	5(0)	TCURC		WAERS			
RVCUR	Freely Defined Currency 2	FINS_CURR2	CUKY	5(0)	TCURC		WAERS			
RBCUR	Freely Defined Currency 3	FINS_CURR3	CUKY	5(0)	TCURC		WAERS			
RCCUR	Freely Defined Currency 4	FINS_CURR4	CUKY	5(0)	TCURC		WAERS			
RDCUR	Freely Defined Currency 5	FINS_CURR5	CUKY	5(0)	TCURC		WAERS			
RECUR	Freely Defined Currency 6	FINS_CURR6	CUKY	5(0)	TCURC		WAERS			
RFCUR	Freely Defined Currency 7	FINS_CURR7	CUKY	5(0)	TCURC		WAERS			
RGCUR	Freely Defined Currency 8	FINS_CURR8	CUKY	5(0)	TCURC		WAERS			
RCO_OCUR	CO Object Currency	FINS_CO_OCUR	CUKY	5(0)	TCURC		WAERS			
RUNIT	Base Unit of Measure	MEINS	UNIT	3(0)	T006	CUNIT	MEINS			
RVUNIT	Unit of Measure for Valuation Quantity	RVUNIT	UNIT	3(0)	T006	CUNIT	MEINS			
RRUNIT	Unit of Measure for Reference Quantity	RRUNIT	UNIT	3(0)	T006	CUNIT	MEINS			
RIUNIT	Unit of Measure for Inventory Quantity	FINS_RIUNIT	UNIT	3(0)	T006	CUNIT	MEINS			
QUNIT1	Additional Unit of Measure 1	FCO_QUNIT1	UNIT	3(0)	T006	CUNIT	MEINS			
QUNIT2	Additional Unit of Measure 2	FCO_QUNIT2	UNIT	3(0)	T006	CUNIT	MEINS			
QUNIT3	Additional Unit of Measure 3	FCO_QUNIT3	UNIT	3(0)	T006	CUNIT	MEINS			
CO_MEINH	Unit of Measure for CO Valuation Quantity	FCO_MEINH	UNIT	3(0)	Assigned to domain	CUNIT	MEINS			
RACCT	Account Number	RACCT	CHAR	10(0)	SKB1	ALPHA	SAKNR	ACC		
RCNTR	Cost Center	KOSTL	CHAR	10(0)	CSKS	ALPHA	KOSTL	KOS		
PRCTR	Profit Center	PRCTR	CHAR	10(0)	CEPC	ALPHA	PRCTR	PRC	PRCTR_EMPTY	PRCTR
RFAREA	Functional Area	FKBER	CHAR	16(0)	TFKB		FKBER	FBE		
RBUSA	Business Area	GSBER	CHAR	4(0)	TGSB		GSBER	GSB		
KOKRS	Controlling Area	KOKRS	CHAR	4(0)	TKA01		CACCD	CAC		
SEGMENT	Segment for Segmental Reporting	FB_SEGMENT	CHAR	10(0)	FAGL_SEGM	ALPHA	FB_SEGMENT			
SCNTR	Sender cost center	SKOST	CHAR	10(0)	CSKS	ALPHA	KOSTL	KSK		
PPRCTR	Partner Profit Center	PPRCTR	CHAR	10(0)	CEPC	ALPHA	PRCTR	PPC		
SFAREA	Partner Functional Area	SFKBER	CHAR	16(0)	TFKB		FKBER			
SBUSA	Trading partner's business area	PARGB	CHAR	4(0)	TGSB		GSBER	GSB		
RASSC	Company ID of Trading Partner	RASSC	CHAR	6(0)	T880	ALPHA	RCOMP	PGS		
PSEGMENT	Partner Segment for Segmental Reporting	FB_PSEGMENT	CHAR	10(0)	FAGL_SEGM	ALPHA	FB_SEGMENT			
TSL	Amount in Balance Transaction Currency	FINS_VTCUR12	CURR	23(2)			WERTV12			
WSL	Amount in Transaction Currency	FINS_VWCUR12	CURR	23(2)			WERTV12			
WSL2	Group Valuation Amount in Transaction Currency	FINS_VWCUR12_2	CURR	23(2)			WERTV12			
WSL3	Profit-Center Valuation Amount in Transaction Currency	FINS_VWCUR12_3	CURR	23(2)			WERTV12			
HSL	Amount in Company Code Currency	FINS_VHCUR12	CURR	23(2)			WERTV12			
KSL	Amount in Global Currency	FINS_VKCUR12	CURR	23(2)			WERTV12			
OSL	Amount in Freely Defined Currency 1	FINS_VOCUR12	CURR	23(2)			WERTV12			
VSL	Amount in Freely Defined Currency 2	FINS_VVCUR12	CURR	23(2)			WERTV12			
BSL	Amount in Freely Defined Currency 3	FINS_VBCUR12	CURR	23(2)			WERTV12			
CSL	Amount in Freely Defined Currency 4	FINS_VCCUR12	CURR	23(2)			WERTV12			
DSL	Amount in Freely Defined Currency 5	FINS_VDCUR12	CURR	23(2)			WERTV12			
ESL	Amount in Freely Defined Currency 6	FINS_VECUR12	CURR	23(2)			WERTV12			
FSL	Amount in Freely Defined Currency 7	FINS_VFCUR12	CURR	23(2)			WERTV12			
GSL	Amount in Freely Defined Currency 8	FINS_VGCUR12	CURR	23(2)			WERTV12			
KFSL	Fixed Amount in Global Currency	FINS_VGCUR12_FIX	CURR	23(2)			WERTV12			
KFSL2	Group Valuation Fixed Amount in Global Currency	FINS_VGCUR12_FIX2	CURR	23(2)			WERTV12			
KFSL3	PrCtr Valuation Fixed Amount in Global Currency	FINS_VGCUR12_FIX3	CURR	23(2)			WERTV12			
PSL	Total Price Variance in Global Currency	FINS_VPCUR12	CURR	23(2)			WERTV12			
PSL2	Group Valuation Total Price Variance in Global Currency	FINS_VPCUR12_2	CURR	23(2)			WERTV12			
PSL3	PrCtr Valuation Total Price Variance in Global Currency	FINS_VPCUR12_3	CURR	23(2)			WERTV12			
PFSL	Fixed Price Variance in Global Currency	FINS_VPFCUR12	CURR	23(2)			WERTV12			
PFSL2	Group Valuation Fixed Price Variance in Global Currency	FINS_VPFCUR12_2	CURR	23(2)			WERTV12			
PFSL3	PrCtr Valuation Fixed Price Variance in Global Currency	FINS_VPFCUR12_3	CURR	23(2)			WERTV12			
CO_OSL	Amount in CO Object Currency	FINS_VCO_OCUR12	CURR	23(2)			WERTV12			
HSLALT	Alternative Value in Local Currency	MLHSLALT	CURR	23(2)			WERTV12			
KSLALT	Alternative Value in Group Currency	MLKSLALT	CURR	23(2)			WERTV12			
OSLALT	Alternative Value in Freely Defined Currency 1	MLOSLALT	CURR	23(2)			WERTV12			
VSLALT	Alternative Value in Freely Defined Currency 2	ML4SLALT	CURR	23(2)			WERTV12			
BSLALT	Alternative Value in Freely Defined Currency 3	MLBSLALT	CURR	23(2)			WERTV12			
CSLALT	Alternative Value in Freely Defined Currency 4	MLCSLALT	CURR	23(2)			WERTV12			
DSLALT	Alternative Value in Freely Defined Currency 5	MLDSLALT	CURR	23(2)			WERTV12			
ESLALT	Alternative Value in Freely Defined Currency 6	MLESLALT	CURR	23(2)			WERTV12			
FSLALT	Alternative Value in Freely Defined Currency 7	MLFSLALT	CURR	23(2)			WERTV12			
GSLALT	Alternative Value in Freely Defined Currency 8	MLGSLALT	CURR	23(2)			WERTV12			
HSLEXT	External Value in Local Currency	MLHSLEXT	CURR	23(2)			WERTV12			
KSLEXT	External Value in Group Currency	MLKSLEXT	CURR	23(2)			WERTV12			
OSLEXT	External Value in Freely Defined Currency 1	MLOSLEXT	CURR	23(2)			WERTV12			
VSLEXT	External Value in Freely Defined Currency 2	ML4SLEXT	CURR	23(2)			WERTV12			
BSLEXT	External Value in Freely Defined Currency 3	MLBSLEXT	CURR	23(2)			WERTV12			
CSLEXT	External Value in Freely Defined Currency 4	MLCSLEXT	CURR	23(2)			WERTV12			
DSLEXT	External Value in Freely Defined Currency 5	MLDSLEXT	CURR	23(2)			WERTV12			
ESLEXT	External Value in Freely Defined Currency 6	MLESLEXT	CURR	23(2)			WERTV12			
FSLEXT	External Value in Freely Defined Currency 7	MLFSLEXT	CURR	23(2)			WERTV12			
GSLEXT	External Value in Freely Defined Currency 8	MLGSLEXT	CURR	23(2)			WERTV12			
HVKWRT	Value at Sales Price in Local Currency	MLHVKWRT	CURR	23(2)			WERTV12			
MSL	Quantity	QUAN1_12	QUAN	23(3)			MENGV12			
MFSL	Fixed quantity	QUAN1_12_FIX	QUAN	23(3)			MENGV12			
VMSL	Valuation quantity	VQUAN1_12	QUAN	23(3)			MENGV12			
VMFSL	Fixed valuation quantity	VQUAN1_12_FIX	QUAN	23(3)			MENGV12			
RMSL	Reference quantity	RQUAN1_12	QUAN	23(3)			MENGV12			
QUANT1	Additional Quantity 1	FCO_QUAN1_L	QUAN	23(3)			MENGV12			
QUANT2	Additional Quantity 2	FCO_QUAN2_L	QUAN	23(3)			MENGV12			
QUANT3	Additional Quantity 3	FCO_QUAN3_L	QUAN	23(3)			MENGV12			
CO_MEGBTR	CO Valuation Quantity	FCO_MEGBTR	QUAN	23(3)			MENGV12			
CO_MEFBTR	CO Valuation Quantity Fix	FCO_MEFBTR	QUAN	23(3)			MENGV12			
HSALK3	Inventory Value in Local Currency	MLHSALK3	CURR	23(2)			WERTV12			
KSALK3	Inventory Value in Group Currency	MLKSALK3	CURR	23(2)			WERTV12			
OSALK3	Inventory Value in Another Currency	MLOSALK3	CURR	23(2)			WERTV12			
VSALK3	Inventory Value in Fourth Currency	ML4SALK3	CURR	23(2)			WERTV12			
HSALKV	Alternative Inventory Value in Local Currency	MLHSALKV	CURR	23(2)			WERTV12			
KSALKV	Alternative Inventory Value in Group Currency	MLKSALKV	CURR	23(2)			WERTV12			
OSALKV	Alternative Inventory Value in Another Currency	MLOSALKV	CURR	23(2)			WERTV12			
VSALKV	Alternative Inventory Value in Fourth Currency	ML4SALKV	CURR	23(2)			WERTV12			
HPVPRS	Moving Average Price in Local Currency	MLHPVPRS	CURR	23(2)			WERTV12			
KPVPRS	Moving Average Price in Group Currency	MLKPVPRS	CURR	23(2)			WERTV12			
OPVPRS	Moving Average Price in Another Currency	MLOPVPRS	CURR	23(2)			WERTV12			
VPVPRS	Moving Average Price in Fourth Currency	ML4PVPRS	CURR	23(2)			WERTV12			
HSTPRS	Standard Price in Local Currency	MLHSTPRS	CURR	23(2)			WERTV12			
KSTPRS	Standard Price in Group Currency	MLKSTPRS	CURR	23(2)			WERTV12			
OSTPRS	Standard Price in Another Currency	MLOSTPRS	CURR	23(2)			WERTV12			
VSTPRS	Standard Price in Fourth Currency	ML4STPRS	CURR	23(2)			WERTV12			
HVKSAL	Inventory Value at Sales Price in Local Currency	MLHVKSAL	CURR	23(2)			WERTV12			
LBKUM	Inventory Quantity	MLLBKUM	QUAN	23(3)			MENGV12			
DRCRK	Debit/Credit Indicator	SHKZG	CHAR	1(0)			SHKZG			
POPER	Posting period	POPER	NUMC	3(0)			POPER	POPR		
PERIV	Fiscal Year Variant	PERIV	CHAR	2(0)	T009		PERIV			
FISCYEARPER	Period/Year	JAHRPER	NUMC	7(0)		PERI7	JAHRPER			
BUDAT	Posting Date in the Document	BUDAT	DATS	8(0)			DATUM			
BLDAT	Document Date in Document	BLDAT	DATS	8(0)			DATUM			
BLART	Document type	BLART	CHAR	2(0)	T003		BLART	BAR		
BUZEI	Number of Line Item Within Accounting Document	BUZEI	NUMC	3(0)			BUZEI	BUZ		
ZUONR	Assignment number	DZUONR	CHAR	18(0)			ZUONR			
BSCHL	Posting Key	BSCHL	CHAR	2(0)	TBSL		BSCHL			
BSTAT	Document Status	BSTAT_D	CHAR	1(0)			BSTAT			
LINETYPE	Item Category	LINETYPE	CHAR	5(0)	T8G02		LINETYPE			
KTOSL	Transaction Key	KTOSL	CHAR	3(0)			CHAR3			
SLALITTYPE	Subledger-Specific Line Item Type	SLALITTYPE	NUMC	5(0)	FINSTS_SLALITTY		SLALITTYPE			
XSPLITMOD	Item Changed by Document Splitting	XSPLITMOD	CHAR	1(0)			XFELD			
USNAM	User Name	USNAM	CHAR	12(0)	Assigned to domain		XUBNAME	USR		
TIMESTAMP	UTC Time Stamp in Short Form (YYYYMMDDhhmmss)	TIMESTAMP	DEC	15(0)			TZNTSTMPS			
EPRCTR	Partner profit center for elimination of internal business	EPRCTR	CHAR	10(0)	CEPC	ALPHA	PRCTR			
RHOART	Type of origin object (EC-PCA)	HOART	NUMC	2(0)			HOART	PCH		
GLACCOUNT_TYPE	Type of a General Ledger Account	GLACCOUNT_TYPE	CHAR	1(0)			GLACCOUNT_TYPE			
KTOPL	Chart of Accounts	KTOPL	CHAR	4(0)	T004		KTOPL	KPL	C_KTOPL	KTOPL
LOKKT	Alternative Account Number in Company Code	ALTKT_SKB1	CHAR	10(0)	SKA1	ALPHA	SAKNR			
KTOP2	Chart of Accounts According to Country Legislation	KTOP2	CHAR	4(0)	T004		KTOPL			
REBZG	Document No. of the Invoice to Which the Transaction Belongs	REBZG	CHAR	10(0)		ALPHA	BELNR			
REBZJ	Fiscal Year of the Relevant Invoice (for Credit Memo)	REBZJ	NUMC	4(0)		GJAHR	GJAHR			
REBZZ	Line Item in the Relevant Invoice	REBZZ	NUMC	3(0)			BUZEI			
REBZT	Follow-On Document Type	REBZT	CHAR	1(0)			REBZT			
RBEST	Category of Reference Purchase Order	CO_RBEST	NUMC	3(0)		REFBT	BELEGTYP			
EBELN	Purchasing Document Number	EBELN	CHAR	10(0)	EKKO	ALPHA	EBELN	BES	MEKK_C	EBELN
EBELP	Item Number of Purchasing Document	EBELP	NUMC	5(0)	EKPO		EBELP	BSP		
ZEKKN	Sequential Number of Account Assignment	DZEKKN	NUMC	2(0)			NUM02			
SGTXT	Item Text	SGTXT	CHAR	50(0)			TEXT50			
KDAUF	Sales Order Number	KDAUF	CHAR	10(0)	Assigned to domain	ALPHA	VBELN	AUN		
KDPOS	Item number in Sales Order	KDPOS	NUMC	6(0)			NUM06	KPO		
MATNR	Material Number	MATNR	CHAR	40(0)	MARA	MATN1	MATNR	MAT	S_MAT1	MATNR
WERKS	Plant	WERKS_D	CHAR	4(0)	T001W		WERKS	WRK	H_T001W_C	WERKS
LIFNR	Account Number of Vendor or Creditor	LIFNR	CHAR	10(0)	LFA1	ALPHA	LIFNR	LIF	KRED_C	LIFNR
KUNNR	Customer Number	KUNNR	CHAR	10(0)	KNA1	ALPHA	KUNNR	KUN	C_KUNNR	KUNNR
FBUDA	Date on which services are rendered	FBUDA	DATS	8(0)			DATUM			
COCO_NUM	Condition Contract	WCB_COCO_NUM	CHAR	10(0)		ALPHA	WCB_COCO_NUM			
WWERT	Translation date	WWERT_D	DATS	8(0)			DATUM			
KOART	Account type	KOART	CHAR	1(0)			KOART			
UMSKZ	Special G/L Indicator	UMSKZ	CHAR	1(0)	T074U		UMSKZ			
MWSKZ	Tax on sales/purchases code	MWSKZ	CHAR	2(0)	T007A		MWSKZ			
HBKID	Short key for a house bank	HBKID	CHAR	5(0)	T012		HBKID			
HKTID	ID for account details	HKTID	CHAR	5(0)	T012K		HKTID			
XOPVW	Indicator: Open Item Management?	XOPVW	CHAR	1(0)			XFELD			
AUGDT	Clearing Date	AUGDT	DATS	8(0)			DATUM			
AUGBL	Document Number of the Clearing Document	AUGBL	CHAR	10(0)		ALPHA	BELNR			
AUGGJ	Fiscal Year of Clearing Document	AUGGJ	NUMC	4(0)		GJAHR	GJAHR			
AFABE	Depreciation Area Real or Derived	AFABER	NUMC	2(0)	FAAV_DEPR_AREA		AFABE			
ANLN1	Main Asset Number	ANLN1	CHAR	12(0)	ANLH	ALPHA	ANLN1	AN1		
ANLN2	Asset Subnumber	ANLN2	CHAR	4(0)	ANLA	ALPHA	ANLN2	AN2		
BZDAT	Asset Value Date	BZDAT	DATS	8(0)			DATUM			
ANBWA	Asset Transaction Type	ANBWA	CHAR	3(0)	TABW		BWASL			
MOVCAT	Transaction Type Category	FAA_MOVCAT	CHAR	2(0)	FAAI_MOVCAT		FAA_MOVCAT			
DEPR_PERIOD	Posting Period of Depreciation	PERAF	NUMC	3(0)			PERAF			
ANLGR	Group Asset	ANLGR	CHAR	12(0)	ANLH	ALPHA	ANLN1	AN1		
ANLGR2	Subnumber of Group Asset	ANLGR2	CHAR	4(0)	ANLA	ALPHA	ANLN2			
SETTLEMENT_RULE	Distribution Rule Group	BUREG	NUMC	3(0)			NUMC3			
ANLKL	Asset Class	ANLKL	CHAR	8(0)	ANKA	ALPHA	ANLKL	ANK	SH_ANLKA	ANLKL
KTOGR	Account Determination	KTOGR	CHAR	8(0)	T095A	ALPHA	KTOGR			
PANL1	Main number partner asset (intercompany transfer)	PANL1	CHAR	12(0)	ANLH	ALPHA	ANLN1			
PANL2	Partner asset subnumber (intercompany transfer)	PANL2	CHAR	4(0)	ANLA	ALPHA	ANLN2			
.INCLU-_PN				0(0)						
UBZDT_PN	Original Value Date of Transaction	UBZDT	DATS	8(0)			DATUM			
XVABG_PN	Indicator: Post Complete Retirement	XVABG	CHAR	1(0)			XFELD			
PROZS_PN	Asset retirement: Percentage rate	PROZS	DEC	5(2)			PRZ32			
XMANPROPVAL_PN	Indicator Proportional Values Entered Manually	XMANPROPVAL	CHAR	1(0)			XFELD			
KALNR	Cost Estimate Number for Cost Est. w/o Qty Structure	CK_KALNR	NUMC	12(0)	Assigned to domain		CK_KALNR	KNR		
VPRSV	Price control indicator	VPRSV	CHAR	1(0)			VPRSV			
MLAST	Material Price Determination: Control	CK_ML_ABST	CHAR	1(0)			CK_ML_ABST			
KZBWS	Valuation of Special Stock	MLKZBWS	CHAR	1(0)			KZBWS			
XOBEW	Vendor Stock Valuation Indicator	MLXOBEW	CHAR	1(0)			XFELD			
SOBKZ	Special Stock Indicator	SOBKZ	CHAR	1(0)	Assigned to domain		SOBKZ			
VTSTAMP	Valuation Time Stamp	VTIMESTAMPL	DEC	21(7)			TZNTSTMPL			
MAT_KDAUF	Sales Document Number of Valuated Special Inventory	MLMAT_KDAUF	CHAR	10(0)		ALPHA	VBELN	AUN		
MAT_KDPOS	Sales Document Item Number of Valuated Special Inventory	MLMAT_KDPOS	NUMC	6(0)			POSNR			
MAT_PSPNR	WBS Element (internal) of Valuated Special Inventory	MLMAT_PSPNR	NUMC	8(0)	Assigned to domain	ABPSP	PS_POSNR			
MAT_PS_POSID	WBS Element (external) of Valuated Special Inventory	MLMAT_PS_POSID	CHAR	24(0)		ABPSN	PS_POSID	PRO		
MAT_LIFNR	Supplier of Valuated Special Inventory	MLMAT_LIFNR	CHAR	10(0)		ALPHA	LIFNR	LIF	KRED_C	LIFNR
BWTAR	Valuation Type	BWTAR_D	CHAR	10(0)	T149D		BWTAR	BWT		
BWKEY	Valuation area	BWKEY	CHAR	4(0)	T001K		BWKEY	BWK		
HPEINH	Price Unit in Local Currency	MLHPEINH	DEC	5(0)			PACK3			
KPEINH	Price Unit in Group Currency	MLKPEINH	DEC	5(0)			PACK3			
OPEINH	Price Unit in Another Currency	MLOPEINH	DEC	5(0)			PACK3			
VPEINH	Price Unit in Fourth Currency	ML4PEINH	DEC	5(0)			PACK3			
MLPTYP	Original Process Category	ML_PTYP_ORG	CHAR	4(0)	CKMLMV009		CKML_PROZESS_TYP			
MLCATEG	Category in Material Update Structure	ML_KATEGORIE	CHAR	2(0)			CKML_KATEGORIE			
QSBVALT	Procurement Alternative/Process	ML_QSBVALT	NUMC	12(0)	Assigned to domain		CK_KALNR			
QSPROCESS	Production Process	ML_QSPROCESS	NUMC	12(0)	Assigned to domain		CK_KALNR	CKML_PROCNR		
PERART	Type of Period	ML_PER_ART	CHAR	2(0)			CK_PER_ART			
MLPOSNR	Item in Material Ledger Document	ML_MLPOS	NUMC	6(0)			NUMC6			
INV_MOV_CATEG	Balance Sheet Valuation: Inventory Movement Category	FBV_INV_MOV_CATEG	CHAR	1(0)			FBV_INV_MOV_CATEG			
BUKRS_SENDER	Company Code in Sender System	BUKRS_SENDER	CHAR	4(0)			CHAR4	BUK	C_T001	BUKRS
RACCT_SENDER	General Ledger Account in Sender System	RACCT_SENDER	CHAR	10(0)			CHAR10	SAK	C_SAKNR	SAKNR
ACCAS_SENDER	Account Assignment in Sender System	ACCAS_SENDER	CHAR	30(0)			ACCAS			
ACCASTY_SENDER	Account Assignment Type in Sender System	ACCASTY_SENDER	CHAR	2(0)	TBO00		J_OBART			
OBJNR	Object number	J_OBJNR	CHAR	22(0)	ONR00		J_OBJNR	ONR		
HRKFT	CO key subnumber	CO_SUBKEY	CHAR	14(0)	COKEY		CO_SUBKEY			
HKGRP	Origin Group as Subdivision of Cost Element	HRKFT	CHAR	4(0)	TKKH1		HRKFT			
PAROB1	Partner object (always filled)	PAROB1	CHAR	22(0)	ONR00		J_OBJNR			
PAROBSRC	Source of PAROB: PAROB1 or type of partner object	FINS_PAROB_SRC	CHAR	1(0)			FINS_PAROB_SRC			
USPOB	Source Object (Cost Center/Activity Type)	USPOB	CHAR	22(0)	ONR00		J_OBJNR			
CO_BELKZ	CO Debit/Credit Indicator	FINS_CO_BELKZ	CHAR	1(0)		BEKNZ	FINS_CO_BELKZ			
CO_BEKNZ	Debit/Credit Indicator (Origin)	FINS_CO_BEKNZ	CHAR	1(0)		BEKNZ	BEKNZ			
BELTP	Debit Type	BP_INOUT	NUMC	1(0)			BP_INOUT			
MUVFLG	Indicator: Quantity Is Incomplete	FCO_MUV_CODE	NUMC	1(0)			FCO_MUV_CODE			
